Action Rotate,Action Translate,Action Scale,World Coordinates,Local Coordinates,Camera Projection Coordinates,Action Select,Lightning,Save Project,Open Project,Create Project,Reload Project,Undo Last Action,Redo Last Action,Open IDE,Reload Game,Build Project,Build N Run Project,Cancel Build,Create Package,Create Folder,Display Properties,Rename Package,Rename Folder,Delete Selected Item,Expand Asset Folders,Expand All,Collapse All,Show in Explorer
Girar,Mover,Calibrar,Mundo,Local,Camara,Escoger,Iluminacion,Save,Abrir,Proyecto Crear,Reload Project,Undo Last Action,Redo Last Action,IDE,Recargar Juego,Contruir Proyecto,Contruir y Comenzar,Cancel Build,Paquete Crear,Crear Folder,Display Property,Package Rename,Rename Folder,Item Borrar,Folder Expand,Todos Expandir,Todos Collapsar,Show in Explorer
Voltear,Move,Scale,World Coordinate,Locales,Coordenada Camara,Escoger,Iluminacion,Grabar,Open,Create Project,Reload P,Undo Last Action,Rehacer accion,IDE,Juego Recargar,Build,Build and Run,Cancelar Build,Crear Paquete,Folder Crear,Mostrar Propiedades,Package Rename,Folder Renombrar,Item Borrar,Folder Expand,Todos Expandir,Collapse All,Explorer Show
Voltear,Move,Calibrar,Mundo,Local Coordinates,Coordenadas Camara,Elegir,Alumbrado,Grabar,Empezar,Crear Proyecto,Proyecto Recargar,Undo Last Action,Redo Last Action,Abrir IDE,Reload Game,Contruir Proyecto,Contruir y Comenzar,Build Cancelar,Create Package,Crear Folder,Propiedades Mostrar,Rename Package,Rename Folder,Item Borrar,Folder Expandir,Expandir Todos,All Collapse,Explorador Mostrar
Rotate,Move,Calibrar,World Coordinates,Local Coordinates,Camara Coordenadas,Escoger,Iluminacion,Grabar,Empezar,Create P,Reload P,Undo,Rehacer,IDE,Recargar Juego,Contruir Proyecto,Contruir y Comenzar,Cancel Build,Create Package,Crear Folder,Mostrar Propiedades,Package Rename,Folder Renombrar,Item Delete,Expandir Folder,Expandir Todos,Todos Collapsar,Explorador Mostrar
Girar,Move,Escalar,World Coordinates,Coordenada Local,Camara Coordenada,Escoger,Light,Registrar,Empezar,Create Project,Recargar Proyecto,Deshacer accion,Rehacer,IDE,Reload Game,Build,Construir y Correr,Build Cancelar,Package Create,Create Folder,Propiedades Mostrar,Paquete Renombrar,Rename Folder,Borrar Item,Folder Expandir,Expandir Todos,Collapse All,Explorador Mostrar
Girar,Move,Calibrar,World View,Local Coordinate,Camara,Elegir,Light,Grabar,Iniciar,Crear Proyecto,Reload P,Undo,Rehacer,Abrir IDE,Juego Recargar,Proyecto Construir,Contruir y Comenzar,Cancelar Build,Package Create,Crear Folder,Property Display,Renombrar Paquete,Package Folder,Borrar Item,Folder Expandir,Expandir Todos,Todos Collapsar,Explorador Mostrar
Girar,Transladar,Redimensionar,Coordenadas Mundo,Coordenadas Local,Camara,Elegir,Iluminacion,Save,Abrir,Create P,Reload P,Deshacer accion,Rehacer accion,Abrir IDE,Recargar Juego,Build,Contruir y Comenzar,Cancel Build,Package Create,Crear Folder,Property Display,Renombrar Paquete,Package Folder,Item Borrar,Expand Folder,Expandir Todos,Collapsar Todos,Mostrar en Explorador
Rotar,Translate,Redimensionar,Mundo,Coordenada Local,Camera Coordinates,Destacar,Luz,Save,Iniciar,Crear Proyecto,Reload P,Undo Last Action,Rehacer,Open IDE,Game Reload,Proyecto Construir,Contruir y Comenzar,Cancel Build,Paquete Crear,Crear Folder,Propiedades Mostrar,Renombrar Paquete,Folder Renombrar,Delete Item,Folder Expandir,Todos Expandir,Collapse All,Explorador Mostrar
Voltear,Move,Calibrar,World View,Coordenadas Local,Coordenadas Camara,Seleccionar,Luz,Save,Open,Create Project,Recargar Proyecto,Deshacer accion,Rehacer,Abrir IDE,Juego Recargar,Proyecto Construir,Construir y Correr,Build Cancel,Package Create,Folder Crear,Propiedades Mostrar,Paquete Renombrar,Renombrar Folder,Item Delete,Expand Folder,Expandir Todos,Collapse All,Show in Explorer
Girar,Mover,Redimensionar,Coordenada Mundo,Local Coordinate,Camara Coordenadas,Escoger,Luz,Grabar,Open,Create P,Reload Project,Deshacer,Rehacer accion,IDE,Recargar Juego,Proyecto Construir,Build and Run,Build Cancel,Package Create,Folder Crear,Mostrar Propiedades,Renombrar Paquete,Rename Folder,Item Delete,Expand Folder,Todos Expandir,Collapse All,Explorador Mostrar
Girar,Translate,Scale,World Coordinates,Coordenada Local,Camara,Elegir,Light,Registrar,Open,Create Project,Reload P,Undo,Rehacer accion,IDE,Game Reload,Contruir Proyecto,Contruir y Comenzar,Cancelar Build,Create Package,Create Folder,Propiedades Mostrar,Paquete Renombrar,Renombrar Folder,Item Delete,Expandir Folder,Expandir Todos,Collapsar Todos,Mostrar en Explorador
Girar,Mover,Escalar,Mundo,Coordenadas Local,Coordenadas Camara,Escoger,Luz,Registrar,Open,Create Project,Reload P,Deshacer,Redo Last Action,IDE,Juego Recargar,Build Project,Contruir y Comenzar,Build Cancelar,Paquete Crear,Folder Crear,Mostrar Propiedades,Paquete Renombrar,Renombrar Folder,Borrar Item,Expandir Folder,Todos Expandir,All Collapse,Explorer Show
Rotate,Transladar,Scale,Mundo,Coordenadas Local,Coordenadas Camara,Escoger,Alumbrado,Save,Open,Create Project,Reload P,Undo Last Action,Redo Last Action,Open IDE,Juego Recargar,Contruir Proyecto,Construir y Correr,Cancel Build,Paquete Crear,Folder Create,Mostrar Propiedades,Rename Package,Renombrar Folder,Borrar Item,Expand Folder,Todos Expandir,Todos Collapsar,Explorador Mostrar
Voltear,Transladar,Scale,Coordenadas Mundo,Coordenadas Local,Coordenada Camara,Escoger,Light,Grabar,Open,Create P,Reload Project,Deshacer accion,Redo,Open IDE,Juego Recargar,Build,Build and Run,Cancel Build,Crear Paquete,Crear Folder,Propiedades Mostrar,Paquete Renombrar,Package Folder,Borrar Item,Expand Folder,Expand All,All Collapse,Mostrar en Explorador
Rotate,Move,Redimensionar,Mundo,Local Coordinates,Coordenadas Camara,Elegir,Light,Registrar,Iniciar,Create Project,Proyecto Recargar,Undo Last Action,Redo Last Action,Abrir IDE,Reload Game,Build Project,Construir y Correr,Cancelar Build,Crear Paquete,Folder Crear,Propiedades Mostrar,Renombrar Paquete,Folder Renombrar,Item Borrar,Expand Folder,Todos Expandir,Collapse All,Mostrar en Explorador
Rotar,Mover,Escalar,Mundo,Local Coordinates,Coordenadas Camara,Seleccionar,Light,Save,Open,Proyecto Crear,Recargar Proyecto,Undo Last Action,Redo,Abrir IDE,Juego Recargar,Build,Build and Run,Cancelar Build,Create Package,Folder Crear,Mostrar Propiedades,Renombrar Paquete,Renombrar Folder,Delete Item,Expandir Folder,Expand All,Collapse All,Explorer Show
Rotate,Translate,Calibrar,World Coordinate,Local Coordinates,Camara Coordenada,Destacar,Light,Registrar,Iniciar,Create Project,Reload Project,Undo Last Action,Rehacer accion,Abrir IDE,Reload Game,Build,Contruir y Comenzar,Cancelar Build,Package Create,Folder Create,Display Property,Renombrar Paquete,Renombrar Folder,Item Borrar,Folder Expand,All Expand,Todos Collapsar,Explorer Show
Rotate,Translate,Calibrar,Mundo,Local,Camara Coordenada,Seleccionar,Luz,Grabar,Iniciar,Proyecto Crear,Reload Project,Deshacer accion,Rehacer accion,Abrir IDE,Game Reload,Proyecto Construir,Build and Run,Cancelar Build,Paquete Crear,Folder Create,Display Property,Renombrar Paquete,Folder Renombrar,Delete Item,Folder Expandir,All Expand,All Collapse,Show in Explorer
Girar,Move,Calibrar,World View,Local Coordinate,Camara Coordenada,Destacar,Luz,Save,Open,Create P,Reload Project,Deshacer accion,Redo Last Action,Open IDE,Reload Game,Build Project,Build and Start,Cancel Build,Paquete Crear,Crear Folder,Mostrar Propiedades,Paquete Renombrar,Rename Folder,Borrar Item,Expandir Folder,All Expand,Collapsar Todos,Show in Explorer
Voltear,Mover,Redimensionar,Coordenadas Mundo,Locales,Camera Coordinates,Elegir,Iluminacion,Guardar,Open,Create Project,Reload P,Undo Last Action,Redo,IDE,Reload Game,Proyecto Construir,Construir y Correr,Cancel Build,Paquete Crear,Crear Folder,Propiedades Mostrar,Package Rename,Package Folder,Item Borrar,Expand Folder,Todos Expandir,Collapse All,Mostrar en Explorador
Girar,Transladar,Redimensionar,Mundo,Local,Camara Coordenadas,Destacar,Luz,Grabar,Iniciar,Crear Proyecto,Recargar Proyecto,Deshacer accion,Redo Last Action,Abrir IDE,Game Reload,Build,Contruir y Comenzar,Cancel Build,Paquete Crear,Folder Crear,Property Display,Package Rename,Package Folder,Borrar Item,Expand Folder,Todos Expandir,Collapse All,Explorer Show
Rotate,Move,Scale,World Coordinates,Coordenadas Local,Camara Coordenadas,Escoger,Alumbrado,Save,Abrir,Create Project,Reload P,Undo Last Action,Rehacer accion,Abrir IDE,Recargar Juego,Proyecto Construir,Construir y Correr,Build Cancel,Create Package,Crear Folder,Display Property,Rename Package,Rename Folder,Item Borrar,Expandir Folder,All Expand,Collapsar Todos,Mostrar en Explorador
Rotate,Mover,Redimensionar,World View,Coordenadas Local,Coordenada Camara,Seleccionar,Iluminacion,Grabar,Iniciar,Create Project,Reload P,Deshacer,Redo Last Action,Open IDE,Juego Recargar,Build,Construir y Correr,Cancelar Build,Crear Paquete,Crear Folder,Mostrar Propiedades,Paquete Renombrar,Renombrar Folder,Item Borrar,Folder Expandir,All Expand,Collapsar Todos,Show in Explorer
Rotate,Mover,Scale,World Coordinate,Local Coordinate,Coordenadas Camara,Destacar,Light,Guardar,Iniciar,Create P,Recargar Proyecto,Undo,Rehacer accion,Abrir IDE,Reload Game,Build Project,Contruir y Comenzar,Cancelar Build,Package Create,Crear Folder,Mostrar Propiedades,Paquete Renombrar,Rename Folder,Delete Item,Expand Folder,Expandir Todos,Collapse All,Mostrar en Explorador
Girar,Transladar,Calibrar,Mundo,Coordenadas Local,Coordenadas Camara,Seleccionar,Iluminacion,Save,Iniciar,Create Project,Proyecto Recargar,Deshacer accion,Rehacer,IDE,Game Reload,Contruir Proyecto,Build and Run,Build Cancelar,Paquete Crear,Crear Folder,Display Property,Package Rename,Renombrar Folder,Item Borrar,Expandir Folder,Todos Expandir,Todos Collapsar,Show in Explorer
Rotar,Move,Redimensionar,Coordenada Mundo,Coordenada Local,Coordenada Camara,Escoger,Iluminacion,Save,Open,Create Project,Reload P,Deshacer,Redo Last Action,Open IDE,Recargar Juego,Build Project,Build and Start,Build Cancel,Paquete Crear,Folder Crear,Mostrar Propiedades,Renombrar Paquete,Renombrar Folder,Item Borrar,Expandir Folder,Expandir Todos,Collapsar Todos,Explorador Mostrar
Voltear,Mover,Redimensionar,World View,Locales,Coordenada Camara,Escoger,Luz,Save,Open,Create P,Reload Project,Deshacer accion,Redo,IDE,Recargar Juego,Proyecto Construir,Build and Run,Build Cancel,Paquete Crear,Folder Create,Propiedades Mostrar,Renombrar Paquete,Folder Renombrar,Delete Item,Folder Expandir,Expand All,Collapse All,Mostrar en Explorador
Rotar,Mover,Calibrar,World View,Coordenadas Local,Coordenadas Camara,Destacar,Alumbrado,Save,Open,Create P,Proyecto Recargar,Deshacer,Rehacer accion,Open IDE,Juego Recargar,Build Project,Contruir y Comenzar,Cancelar Build,Crear Paquete,Folder Create,Mostrar Propiedades,Rename Package,Folder Renombrar,Borrar Item,Folder Expandir,Todos Expandir,Collapsar Todos,Show in Explorer
Rotate,Mover,Calibrar,Coordenada Mundo,Coordenadas Local,Coordenada Camara,Seleccionar,Light,Guardar,Empezar,Crear Proyecto,Reload Project,Undo,Rehacer accion,Open IDE,Reload Game,Contruir Proyecto,Build and Run,Build Cancelar,Paquete Crear,Folder Create,Propiedades Mostrar,Paquete Renombrar,Folder Renombrar,Item Delete,Expand Folder,Expandir Todos,Todos Collapsar,Explorador Mostrar
Rotate,Translate,Escalar,World View,Locales,Coordenadas Camara,Elegir,Luz,Grabar,Iniciar,Proyecto Crear,Reload P,Deshacer,Rehacer,Abrir IDE,Recargar Juego,Contruir Proyecto,Build and Run,Cancel Build,Crear Paquete,Folder Crear,Propiedades Mostrar,Paquete Renombrar,Renombrar Folder,Borrar Item,Folder Expandir,Expand All,Collapsar Todos,Show in Explorer
Voltear,Move,Escalar,Coordenada Mundo,Local Coordinate,Coordenada Camara,Destacar,Light,Registrar,Abrir,Create Project,Reload P,Undo Last Action,Redo Last Action,Open IDE,Juego Recargar,Build Project,Construir y Correr,Build Cancelar,Create Package,Folder Crear,Mostrar Propiedades,Rename Package,Rename Folder,Item Borrar,Folder Expandir,All Expand,Todos Collapsar,Mostrar en Explorador
Rotar,Mover,Calibrar,Coordenadas Mundo,Locales,Camara Coordenadas,Escoger,Luz,Grabar,Open,Proyecto Crear,Reload Project,Deshacer accion,Redo Last Action,IDE,Recargar Juego,Contruir Proyecto,Contruir y Comenzar,Build Cancel,Crear Paquete,Folder Crear,Mostrar Propiedades,Renombrar Paquete,Folder Renombrar,Borrar Item,Expand Folder,All Expand,All Collapse,Explorer Show
Voltear,Mover,Calibrar,Coordenadas Mundo,Locales,Camara Coordenadas,Destacar,Light,Grabar,Open,Create P,Recargar Proyecto,Undo Last Action,Rehacer accion,IDE,Juego Recargar,Build Project,Construir y Correr,Cancel Build,Crear Paquete,Folder Create,Mostrar Propiedades,Paquete Renombrar,Folder Renombrar,Item Borrar,Folder Expandir,Expandir Todos,All Collapse,Explorador Mostrar
Girar,Mover,Redimensionar,Coordenadas Mundo,Coordenadas Local,Camara,Escoger,Light,Save,Iniciar,Proyecto Crear,Proyecto Recargar,Undo,Redo,IDE,Juego Recargar,Proyecto Construir,Contruir y Comenzar,Build Cancelar,Crear Paquete,Crear Folder,Propiedades Mostrar,Renombrar Paquete,Renombrar Folder,Item Borrar,Expandir Folder,Todos Expandir,All Collapse,Explorador Mostrar
Girar,Mover,Redimensionar,Coordenadas Mundo,Locales,Coordenada Camara,Destacar,Alumbrado,Save,Empezar,Crear Proyecto,Reload P,Deshacer accion,Redo Last Action,Abrir IDE,Game Reload,Proyecto Construir,Contruir y Comenzar,Cancelar Build,Paquete Crear,Folder Create,Mostrar Propiedades,Package Rename,Package Folder,Item Delete,Folder Expandir,Expand All,Collapse All,Show in Explorer
Girar,Move,Escalar,Mundo,Coordenadas Local,Camara Coordenadas,Destacar,Luz,Registrar,Empezar,Proyecto Crear,Reload P,Deshacer accion,Redo Last Action,Abrir IDE,Juego Recargar,Build,Construir y Correr,Build Cancelar,Paquete Crear,Crear Folder,Display Property,Package Rename,Folder Renombrar,Item Delete,Folder Expandir,Expandir Todos,Collapse All,Explorador Mostrar
Rotate,Mover,Scale,Coordenada Mundo,Locales,Camera Coordinates,Destacar,Light,Guardar,Abrir,Create P,Reload P,Undo Last Action,Rehacer,Abrir IDE,Recargar Juego,Proyecto Construir,Build and Run,Build Cancelar,Crear Paquete,Folder Crear,Display Property,Renombrar Paquete,Renombrar Folder,Item Delete,Folder Expandir,All Expand,Collapsar Todos,Explorador Mostrar
Rotate,Move,Redimensionar,Coordenadas Mundo,Coordenadas Local,Camara,Destacar,Light,Grabar,Open,Create Project,Reload Project,Undo Last Action,Rehacer,Abrir IDE,Reload Game,Build,Contruir y Comenzar,Build Cancelar,Package Create,Folder Crear,Display Property,Renombrar Paquete,Package Folder,Borrar Item,Expand Folder,Todos Expandir,Collapse All,Explorador Mostrar
Rotar,Mover,Calibrar,World Coordinates,Local Coordinate,Camara Coordenadas,Destacar,Light,Registrar,Open,Proyecto Crear,Reload P,Deshacer accion,Rehacer accion,Abrir IDE,Juego Recargar,Build,Build and Run,Build Cancelar,Paquete Crear,Crear Folder,Mostrar Propiedades,Paquete Renombrar,Folder Renombrar,Delete Item,Expand Folder,Todos Expandir,Todos Collapsar,Explorador Mostrar
Voltear,Transladar,Scale,Coordenadas Mundo,Locales,Coordenadas Camara,Escoger,Alumbrado,Guardar,Iniciar,Create Project,Proyecto Recargar,Undo Last Action,Redo Last Action,IDE,Reload Game,Build Project,Build and Run,Cancelar Build,Crear Paquete,Create Folder,Property Display,Package Rename,Renombrar Folder,Item Borrar,Folder Expand,Expandir Todos,All Collapse,Mostrar en Explorador
Rotate,Mover,Redimensionar,Mundo,Coordenadas Local,Camara Coordenadas,Elegir,Alumbrado,Grabar,Open,Create P,Reload Project,Undo,Redo Last Action,Open IDE,Game Reload,Build Project,Build and Start,Build Cancelar,Crear Paquete,Create Folder,Property Display,Paquete Renombrar,Rename Folder,Delete Item,Folder Expandir,Todos Expandir,Collapsar Todos,Show in Explorer
Rotar,Transladar,Scale,World Coordinate,Locales,Camara Coordenadas,Escoger,Iluminacion,Guardar,Iniciar,Crear Proyecto,Proyecto Recargar,Undo,Redo,Open IDE,Game Reload,Build Project,Contruir y Comenzar,Build Cancel,Crear Paquete,Crear Folder,Propiedades Mostrar,Rename Package,Folder Renombrar,Item Delete,Expand Folder,Todos Expandir,Todos Collapsar,Show in Explorer
Girar,Translate,Escalar,Mundo,Coordenada Local,Coordenada Camara,Destacar,Luz,Save,Iniciar,Proyecto Crear,Reload Project,Undo,Rehacer accion,IDE,Game Reload,Contruir Proyecto,Construir y Correr,Build Cancel,Create Package,Create Folder,Mostrar Propiedades,Paquete Renombrar,Folder Renombrar,Item Borrar,Expand Folder,All Expand,Collapsar Todos,Mostrar en Explorador
Rotate,Mover,Escalar,World Coordinate,Coordenada Local,Coordenadas Camara,Escoger,Iluminacion,Guardar,Empezar,Create Project,Proyecto Recargar,Deshacer,Rehacer accion,IDE,Juego Recargar,Build Project,Build and Run,Build Cancel,Paquete Crear,Crear Folder,Property Display,Paquete Renombrar,Package Folder,Item Delete,Folder Expand,All Expand,Todos Collapsar,Explorer Show
Rotate,Transladar,Escalar,World Coordinates,Locales,Camara Coordenadas,Seleccionar,Light,Grabar,Iniciar,Create P,Reload P,Deshacer accion,Redo,Open IDE,Juego Recargar,Proyecto Construir,Construir y Correr,Cancelar Build,Crear Paquete,Folder Create,Display Property,Rename Package,Renombrar Folder,Item Delete,Folder Expandir,All Expand,All Collapse,Show in Explorer
Girar,Transladar,Escalar,Coordenada Mundo,Locales,Camara Coordenadas,Seleccionar,Light,Registrar,Iniciar,Crear Proyecto,Reload P,Undo,Rehacer,Abrir IDE,Recargar Juego,Proyecto Construir,Build and Run,Build Cancel,Crear Paquete,Folder Crear,Propiedades Mostrar,Renombrar Paquete,Folder Renombrar,Item Borrar,Expandir Folder,Expandir Todos,All Collapse,Explorer Show
Rotate,Move,Scale,Coordenadas Mundo,Locales,Camara,Elegir,Luz,Grabar,Abrir,Create Project,Proyecto Recargar,Deshacer accion,Rehacer accion,Open IDE,Game Reload,Contruir Proyecto,Contruir y Comenzar,Build Cancelar,Paquete Crear,Folder Create,Mostrar Propiedades,Renombrar Paquete,Folder Renombrar,Borrar Item,Expand Folder,Todos Expandir,Collapsar Todos,Explorer Show
Rotar,Transladar,Escalar,World Coordinates,Local,Coordenadas Camara,Escoger,Luz,Save,Open,Crear Proyecto,Recargar Proyecto,Deshacer,Redo Last Action,Open IDE,Game Reload,Build Project,Contruir y Comenzar,Cancelar Build,Paquete Crear,Crear Folder,Property Display,Renombrar Paquete,Package Folder,Borrar Item,Folder Expandir,Expandir Todos,Collapsar Todos,Explorador Mostrar
Rotar,Translate,Calibrar,Coordenadas Mundo,Coordenada Local,Camara Coordenada,Destacar,Light,Guardar,Iniciar,Proyecto Crear,Reload P,Undo Last Action,Redo Last Action,IDE,Game Reload,Contruir Proyecto,Construir y Correr,Cancelar Build,Create Package,Crear Folder,Property Display,Renombrar Paquete,Renombrar Folder,Delete Item,Folder Expandir,Expandir Todos,Todos Collapsar,Explorador Mostrar
Girar,Mover,Redimensionar,World Coordinates,Locales,Coordenada Camara,Escoger,Luz,Grabar,Abrir,Crear Proyecto,Reload P,Undo,Redo Last Action,Abrir IDE,Reload Game,Contruir Proyecto,Build and Start,Cancelar Build,Paquete Crear,Folder Crear,Mostrar Propiedades,Package Rename,Rename Folder,Delete Item,Expand Folder,Expandir Todos,Todos Collapsar,Explorador Mostrar
Rotate,Translate,Calibrar,Mundo,Locales,Coordenada Camara,Seleccionar,Iluminacion,Guardar,Abrir,Create P,Proyecto Recargar,Undo Last Action,Rehacer accion,Abrir IDE,Game Reload,Proyecto Construir,Contruir y Comenzar,Build Cancelar,Crear Paquete,Folder Crear,Display Property,Package Rename,Renombrar Folder,Borrar Item,Expandir Folder,All Expand,All Collapse,Mostrar en Explorador
